ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
1118,1013312,10400,7,140,21,126,147,177,144,60,301,301,145
1123,1013376,10450,7,120,0,127,127,177,144,60,301,301,145
1127,1013440,10500,7,140,21,126,147,177,144,60,301,301,145
1132,1013504,10550,7,120,0,127,127,177,144,60,301,301,145
1136,1013568,10600,7,140,20,127,147,177,144,60,301,301,145
1141,1013632,10650,7,120,40,87,127,177,144,60,301,301,145
1145,1013696,10700,7,140,0,147,147,177,144,60,301,301,145
1150,1013760,10750,7,120,21,106,127,177,144,60,301,301,145
1155,1013824,10800,7,140,21,126,147,177,144,60,301,301,145
1159,1013888,10850,7,120,21,106,127,177,144,60,301,301,145
1163,1013952,10900,7,140,0,147,147,177,144,60,301,301,145
1167,1014016,10950,7,120,21,106,127,177,144,60,301,301,144
1172,1014080,11000,7,140,21,126,147,177,144,60,301,301,144
1176,1014144,11050,7,120,0,127,127,177,144,60,301,301,144
1180,1014208,11100,7,140,21,126,147,177,144,60,301,301,144
1185,1014272,11150,7,120,20,107,127,177,144,60,301,301,144
1189,1014336,11200,7,140,21,126,147,177,144,60,301,301,144
1194,1014400,11250,7,120,0,127,127,177,144,60,301,301,144
1198,1014464,11300,7,140,0,147,147,177,144,60,301,301,144
1203,1014528,11350,7,119,61,65,126,177,144,61,301,301,144
1208,1014592,11400,7,140,0,147,147,177,144,61,301,301,144
1211,1014656,11450,7,120,0,127,127,177,144,61,301,301,144
1216,1014720,11500,7,140,21,126,147,177,144,61,301,301,144
1221,1014784,11550,7,120,40,87,127,177,144,61,301,301,144
1225,1014848,11600,7,140,0,147,147,177,144,61,301,301,144
1229,1014912,11650,7,120,0,127,127,177,144,61,301,301,144
1234,1014976,11700,7,140,20,127,147,177,144,61,301,301,144
1239,1015040,11750,7,120,40,87,127,177,144,61,301,301,144
1243,1015104,11800,7,140,0,147,147,177,144,61,301,301,144
1248,1015168,11850,7,120,21,106,127,177,144,61,301,301,144
1253,1015232,11900,7,140,21,126,147,177,144,61,301,301,144
1257,1015296,11950,7,120,0,127,127,177,144,61,301,301,144
1261,1015360,12000,7,140,21,126,147,177,144,61,301,301,144
1266,1015424,12050,7,120,20,107,127,177,144,61,301,301,144
1270,1015488,12100,7,140,0,147,147,177,144,61,301,301,144
1275,1015552,12150,7,120,0,127,127,177,144,61,301,301,144
1280,1015616,12200,7,140,0,147,147,177,144,61,301,301,144
1285,1015680,12250,7,119,61,65,126,177,144,61,301,301,144
1290,1015744,12300,7,140,21,126,147,177,144,61,301,301,144
1293,1015808,12350,7,120,0,127,127,177,144,61,301,301,144
1297,1015872,12400,7,140,0,147,147,177,144,61,301,301,144
1302,1015936,12450,7,120,21,106,127,177,144,61,301,301,143
1307,1016000,12500,7,140,0,147,147,177,144,61,301,301,143
1311,1016064,12550,7,120,21,106,127,177,144,61,301,301,143
1316,1016128,12600,7,140,41,106,147,177,144,61,301,301,143
1320,1016192,12650,7,120,20,107,127,177,144,61,301,301,143
1323,1016256,12700,7,140,21,126,147,177,144,61,301,301,143
1329,1016320,12750,7,120,0,127,127,177,144,61,301,301,143
1333,1016384,12800,7,140,0,147,147,177,144,61,301,301,143
1338,1016448,12850,33,209,42,200,242,177,209,61,301,301,144
1347,1016576,12950,4,103,20,87,107,177,209,61,301,301,144
1343,1016512,12900,27,42,0,69,69,177,209,61,301,301,143
1349,1016640,13000,9,248,42,215,257,177,248,61,301,301,144
1350,1016704,13050,4,248,41,211,252,177,248,61,301,301,144
1361,1016768,13100,9,144,21,132,153,177,248,61,301,301,144
1363,1016832,13150,4,268,82,190,272,177,268,82,301,301,145
